,time,name,totaltweets,description,hashtags,user_mentions,favorite_count,lang,following,followers_count,retweet_count,retweeted,text,location,text Positive Sentiment Score,text Negative Sentiment Score,is_viral,tweet_length,friends_count,hashtag_count,link_count,word_count,avg_length_of_words
2813,2021-02-24 13:51:50+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],4,en,288,57314,3,False,"To achieve this court we need to first staff ""judges for the judges"" body, the High Council of Justice, with people… https://t.co/7A5YXu1F2e","Kyiv, Ukraine",0.139,0.0,0,140,288,0,1,22,5.409090909090909
2814,2021-02-24 13:51:49+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],4,en,288,57314,2,False,Judges like Poprevych who sentenced Sternenko had kept their offices as judicial governance bodies sabotaged their… https://t.co/CbZolCyDsl,"Kyiv, Ukraine",0.134,0.059,0,139,288,0,1,17,7.235294117647059
2815,2021-02-24 08:39:25+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'olgatokariuk', 'name': 'Olga Tokariuk', 'id': 1359532099, 'id_str': '1359532099', 'indices': [3, 16]}, {'screen_name': 'sternenko', 'name': 'Serhii Sternenko', 'id': 2916451034, 'id_str': '2916451034', 'indices': [100, 110]}]",0,en,288,57314,4,False,RT @olgatokariuk: Here's some good background info on what led to the protests in Ukraine following @sternenko conviction and controversy s…,"Kyiv, Ukraine",0.122,0.08,0,140,288,0,0,21,5.714285714285714
2816,2021-02-23 19:06:09+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'СтерненкуВолю', 'indices': [36, 50]}]",[],19,en,288,57314,10,False,"Lots of people came out tonight for #СтерненкуВолю, against lawlessness &amp; persecution of activists, against judges… https://t.co/Mg1SRg38wP","Kyiv, Ukraine",0.0,0.0,0,143,288,1,1,17,7.470588235294118
2817,2021-02-23 16:47:14+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'Sternenko', 'indices': [67, 77]}]",[],5,en,288,57314,6,False,"""As one of the justifications for the verdict, the judge said that #Sternenko has a negative attitude twd Trukhanov… https://t.co/sxbvaeczJX","Kyiv, Ukraine",0.072,0.166,0,140,288,1,1,20,6.05
2818,2021-02-23 12:51:57+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],0,en,288,57314,1,False,"...People gather tonight at 8pm near president's office to protest. 

This is a reminder to all of us:

Unpunished
Evil
Revenges 
&amp;
Grows up","Kyiv, Ukraine",0.0,0.317,0,144,288,0,0,24,4.875
2819,2021-02-23 12:51:56+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'sternenko', 'name': 'Serhii Sternenko', 'id': 2916451034, 'id_str': '2916451034', 'indices': [43, 53]}]",13,en,288,57314,7,False,Few years ago Portnov promised to imprison @sternenko. His lawyers work ended up w nothing in the 1st criminal case… https://t.co/yHEsb59fJW,"Kyiv, Ukraine",0.105,0.142,0,140,288,0,1,21,5.714285714285714
2820,2021-02-23 10:39:36+00:00,Olena Halushka,5888,Board member at @AntAC_ua,"[{'text': 'СтерненкуВолю', 'indices': [98, 112]}]",[],30,en,288,57314,10,False,"7 years 3 months of jail &amp; confiscation of half of his property. This is a shame, not justice
#СтерненкуВолю… https://t.co/2Sodd12tFt","Kyiv, Ukraine",0.0,0.269,0,137,288,1,1,21,5.571428571428571
2821,2021-02-23 09:38:37+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],[],2,en,288,57314,2,False,"Neither UA neutrality, nor little public support driven by decade-long aggressive anti-NATO propaganda, prevented R… https://t.co/fVuGZLW6aV","Kyiv, Ukraine",0.059,0.301,0,140,288,0,1,16,7.8125
2822,2021-02-22 18:34:33+00:00,Olena Halushka,5888,Board member at @AntAC_ua,[],"[{'screen_name': 'DEJURE_UA', 'name': 'DEJURE Foundation', 'id': 860368092656013312, 'id_str': '860368092656013312', 'indices': [1, 11]}]",15,en,288,57314,2,False,".@DEJURE_UA analyzed who are the judges in Sternenko's case 
https://t.co/m5CIO3GjtA","Kyiv, Ukraine",0.0,0.0,0,84,288,0,1,10,7.4
